author|0|body_xml
shishov_a_g|2013/06/06 12:48:43|а ну давай подчиним
shishov_a_g|2013/06/06 12:49:10|ну это адекватное решение проблемы-то на твой взгляд?
iabbliz|2013/06/06 12:50:12|возможно не совсем понимаю предметную область, поэтому сложно оценивать
iabbliz|2013/06/06 12:50:25|почему нельзя таким же образом выбрать из документа?
iabbliz|2013/06/06 12:50:29|из РС поидее проще
shishov_a_g|2013/06/06 12:50:30|а при чем тут область?
iabbliz|2013/06/06 12:50:32|когда он уже есть
shishov_a_g|2013/06/06 12:50:43|ну из документа непонятно как строку выбрать
shishov_a_g|2013/06/06 12:51:18|хотя конечно там номер паллеты не может быть в 2х строках
iabbliz|2013/06/06 12:51:21|а как в РС писать если непонятно как из документа выбрать
shishov_a_g|2013/06/06 12:51:35|но типа считается, что из регистра быстрее вроде
iabbliz|2013/06/06 12:52:25|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="x374f461147da44558a40e37475964845c6e68abd75d934367e1cb6080acb243d" timestamp="1370523095"><legacyquote>[16:51:35] Шишов Антон: </legacyquote>но типа считается, что из регистра быстрее вроде<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не могу оценить, наверное да
iabbliz|2013/06/06 12:53:21|можно поспорить, но время надо=)
iabbliz|2013/06/06 12:53:28|вообщем делаю РС
shishov_a_g|2013/06/06 12:55:25|да много времени не потребуется) Я-то вообще не программирую, поэтому мне без разницы Обычно у нас программисты сами такие решения принимают Просто на этом проекте нам сказали ТП писать и мы типа сразу так в коде разбираться стали
iabbliz|2013/06/07 05:55:25|Привет
iabbliz|2013/06/07 05:55:30|тут?
iabbliz|2013/06/07 05:55:48|Вопрос по УЛ-18
&quot;&quot;Заявка на отгрузку     Показатель      Измерение «Заявка на отгрузку» регистра «Причины закрытия заявок на отгрузку».&quot;
 Вопрос: такого измерения нет в этом регистре, надо ли добавлять? движения документов также править надо по нему если добавляем.&quot;
shishov_a_g|2013/06/07 05:56:38|движения документов? Одного документа, да?
shishov_a_g|2013/06/07 05:56:41|привет
iabbliz|2013/06/07 05:57:01|почему одного?
shishov_a_g|2013/06/07 05:57:04|ну да, измерение должно быть
iabbliz|2013/06/07 05:57:05|сек посмотрю
shishov_a_g|2013/06/07 05:57:17|а какой ещё документ делает движения по этому регистру?
shishov_a_g|2013/06/07 05:57:29|да точно никакой
iabbliz|2013/06/07 05:59:09|3 документа
iabbliz|2013/06/07 05:59:10|делают
iabbliz|2013/06/07 05:59:15|ну считай 2
iabbliz|2013/06/07 05:59:23|Закрытие заявок на отгрузку
iabbliz|2013/06/07 05:59:28|и заявка на отгрузку
shishov_a_g|2013/06/07 06:00:04|а заявка-то зачем
iabbliz|2013/06/07 06:00:13|дык не знаю
iabbliz|2013/06/07 06:00:16|ща погляжу код
shishov_a_g|2013/06/07 06:00:40|да не может такого быть
iabbliz|2013/06/07 06:01:41|ну регистратором указана, а кода да не вижу
iabbliz|2013/06/07 06:01:55|Антон сейчас документ Закрытие заявок на отгрузку
iabbliz|2013/06/07 06:02:00|заблокирован Анной
shishov_a_g|2013/06/07 06:02:05|где указана? Это ошибка
shishov_a_g|2013/06/07 06:02:25|напишешь, чтоб отпустила?
shishov_a_g|2013/06/07 06:02:35|с копией на всех
iabbliz|2013/06/07 06:02:53|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xc0a42277b5b4a4d5986881a7f5b5318fbf077fab979739c73debc9a71e290e7d" timestamp="1370584955"><legacyquote>[10:02:35] Шишов Антон: </legacyquote>с копией на всех<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>?
shishov_a_g|2013/06/07 06:03:07|ну Малышев, Самир, я
iabbliz|2013/06/07 06:03:14|что написать то
iabbliz|2013/06/07 06:03:15|=)
iabbliz|2013/06/07 06:03:29|про регистратора?
shishov_a_g|2013/06/07 06:03:31|<a href="mailto:abatrasova@i-neti.ru">abatrasova@i-neti.ru</a>
shishov_a_g|2013/06/07 06:03:36|чтоб отпустила
iabbliz|2013/06/07 06:03:43|она у меня в скайпе есть
iabbliz|2013/06/07 06:03:46|сейчас напишу
shishov_a_g|2013/06/07 06:03:52|не надо регистратора кроме документа закрытия
shishov_a_g|2013/06/07 06:04:04|Как ещё мне тебя убедить?)
shishov_a_g|2013/06/07 06:04:23|можешь типовой регистр закрытия заказов посмотреть
shishov_a_g|2013/06/07 06:04:32|там документ заказа тоже движений не делает
iabbliz|2013/06/07 06:27:07|поправил УЛ -18 можном смотреть
iabbliz|2013/06/07 06:27:11|объекты в хранилище
iabbliz|2013/06/07 06:32:21|по обработке снятия резерва
iabbliz|2013/06/07 06:32:27|организацию какую ставить?
iabbliz|2013/06/07 06:32:31|в документах
iabbliz|2013/06/07 06:33:14|и подразделение
shishov_a_g|2013/06/07 06:33:41|организацию из настроек пользователя
shishov_a_g|2013/06/07 06:33:46|подразделение пустое
shishov_a_g|2013/06/07 06:33:51|а стой
iabbliz|2013/06/07 06:33:51|Площадка?
shishov_a_g|2013/06/07 06:34:07|подразделение из настроек
iabbliz|2013/06/07 06:34:14|Дата документа?
shishov_a_g|2013/06/07 06:34:19|ну текущая
iabbliz|2013/06/07 06:34:29|не дата актуальности?
shishov_a_g|2013/06/07 06:34:35|не
iabbliz|2013/06/07 06:34:39|ок
iabbliz|2013/06/07 07:50:32|УП-16 сделал
iabbliz|2013/06/07 07:50:38|объекты в хранилище
shishov_a_g|2013/06/07 08:15:56|ты в выходные на связи?
iabbliz|2013/06/07 08:16:12|врятли
iabbliz|2013/06/07 08:16:24|брат приезжает... дома врятли буду
shishov_a_g|2013/06/07 08:16:29|ок
iabbliz|2013/06/10 11:13:57|Привет
shishov_a_g|2013/06/10 11:14:00|Если что можно тебе сразу звонить?
iabbliz|2013/06/10 11:14:23|в идеале лучше список, который надо подправить
iabbliz|2013/06/10 11:14:32|т.к. сейчас делаю другую задачу=)
shishov_a_g|2013/06/10 11:15:31|просто учитывая наш тот разговор, который я не записывал, первый список может не очень адекватным получиться. Ну или давай я его составлю и сразу пройдемся по нему?
iabbliz|2013/06/10 11:15:52|да
iabbliz|2013/06/10 11:15:57|ок.
shishov_a_g|2013/06/10 11:19:24|так роль ты не создавал, да? Спецнастройка, да?
iabbliz|2013/06/10 11:19:33|спец.настройка
shishov_a_g|2013/06/10 12:14:08|Можешь говорить?
iabbliz|2013/06/10 12:14:17|да
shishov_a_g|2013/06/10 12:14:20|ща
shishov_a_g|2013/06/10 12:21:31|6 562 084
iabbliz|2013/06/10 12:41:31|
iabbliz|2013/06/11 08:31:13|теперь да
iabbliz|2013/06/11 08:31:15|обедал
iabbliz|2013/06/11 10:34:29|Сроки по добавлению колонки в ТЧ. Товары?
iabbliz|2013/06/11 10:35:19|еще мин 15
iabbliz|2013/06/11 10:51:03|объекты в хранилище
iabbliz|2013/06/11 10:51:09|можно смотреть
shishov_a_g|2013/06/14 08:32:51|Это в итоге сейчас роль или спецнастр
shishov_a_g|2013/06/14 08:32:52|?
shishov_a_g|2013/06/14 08:32:53|Привет
iabbliz|2013/06/14 08:33:38|ты сказал что должна быть Роль, но жду список что нужно подправить по заданию.
поэтому эту роль еще не добавлял
iabbliz|2013/06/14 08:33:43|Привет
iabbliz|2013/06/14 09:15:44|на выходных не планировал работать
iabbliz|2013/06/14 09:15:47|обедал
shishov_a_g|2013/06/14 09:16:35|а что у вас регистры заданий на ПРР одинаково называются?) Так и оставите?
iabbliz|2013/06/14 09:17:13|еще раз?
shishov_a_g|2013/06/14 09:18:35|<files alt="отправил (-а) файл &quot;Doc13.docx&quot;">
<file size="28769" index="0">Doc13.docx</file></files>
iabbliz|2013/06/14 09:20:00|=) сек поправлю
iabbliz|2013/06/14 09:20:10|в конфигураторе все норм, главное=)
iabbliz|2013/06/14 09:42:33|поправил
iabbliz|2013/06/17 04:27:20|Привет
iabbliz|2013/06/17 04:27:27|Напиши как появишься
shishov_a_g|2013/06/17 05:41:06|привет
iabbliz|2013/06/17 05:47:01|Когда сеанс связи?
shishov_a_g|2013/06/17 05:48:05|В течение часа, ок? Сейчас тут одного клиента передам кому-нибудь
iabbliz|2013/06/17 05:48:27|в 10.30 ?
shishov_a_g|2013/06/17 05:49:53|давай
iabbliz|2013/06/17 05:50:37|ок
iabbliz|2013/06/17 06:29:06|ок
shishov_a_g|2013/06/17 07:13:33|358 281 361
shishov_a_g|2013/06/17 07:13:43|4507
iabbliz|2013/06/17 08:04:09|Объекты в хранилище, можно смотреть
iabbliz|2013/06/17 08:17:42|Антон тут?
iabbliz|2013/06/17 08:18:01|По ИН-05 нужен файл с которого будет идти загрузка
shishov_a_g|2013/06/17 08:48:25|на почту отправлю
shishov_a_g|2013/06/17 08:49:25|отправил
shishov_a_g|2013/06/17 08:55:39|Чет я подумал, не могу в первую очередь проверить УП-16. Сегодня одна из программистов в отпуск уходит, надо её проверять. Но до вечера надеюсь добраться до УП-16
iabbliz|2013/06/17 09:52:39|можно позвонить ?
iabbliz|2013/06/17 09:52:41|быстро
iabbliz|2013/06/17 09:58:32|Еще кое что уточню получается для 1 строки файла соотвествует 1 заказ покупателя?
shishov_a_g|2013/06/17 09:58:43|да
iabbliz|2013/06/17 09:58:46|ок
iabbliz|2013/06/17 11:37:56|У меня что то в файле меньше колонок чем в ТП
iabbliz|2013/06/17 11:37:58|это норм?
shishov_a_g|2013/06/17 11:38:12|ну да
shishov_a_g|2013/06/17 11:38:20|нужные все есть?
iabbliz|2013/06/17 11:38:22|неа
iabbliz|2013/06/17 11:38:30|Колонки Примечания нет
shishov_a_g|2013/06/17 11:38:51|блин
iabbliz|2013/06/17 11:38:58|и еще :
iabbliz|2013/06/17 11:39:58|
iabbliz|2013/06/17 11:40:31|остальные вроде есть
iabbliz|2013/06/17 11:41:15|Диаметр Шпули свойство характеристики, это разве не Числовое значение?
iabbliz|2013/06/17 11:41:47|&quot;• Упакована (свойство характеристики). Всегда присваивать значение, предопределенное в реквизите «Свойство упакован» справочника «Специальные настройки конфигурации». Реквизит на момент написания настоящего ТП уже добавлен в конфигурацию.&quot;

В этом предопределенном элементе указывается Свойство_Упакован свойство характеристики, а не значение свойства упакован, по идее там должно быть или Истина или Ложь;
iabbliz|2013/06/17 11:42:08|Колонки Длина намотки нет еще
shishov_a_g|2013/06/17 11:43:06|Диаметр шпули - не числовое
shishov_a_g|2013/06/17 11:43:51|по упаковке да, там должна быть истина
shishov_a_g|2013/06/17 11:44:14|но истина - это значение предопределенного свойства
iabbliz|2013/06/17 11:44:27|эм?=)
shishov_a_g|2013/06/17 11:44:34|Только примечания и длины намотки нет?
iabbliz|2013/06/17 11:45:20|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xcc60dc566bad2dd3332907189a0503213079270c907b014f4465a30b0c69f939" timestamp="1371469454"><legacyquote>[15:44:14] Шишов Антон: </legacyquote>но истина - это значение предопределенного свойства<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не понял
iabbliz|2013/06/17 11:45:21|=)
shishov_a_g|2013/06/17 11:45:42|давай по очереди Сначала письмо напишем про недостающие реквизиты
iabbliz|2013/06/17 11:46:01|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xa6eec55b6b0b27dcc22079d1c1ba26f39b3b580af44fb54663477716d0fd9959" timestamp="1371469474"><legacyquote>[15:44:34] Шишов Антон: </legacyquote>Только примечания и длины намотки нет?<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>вроде да.
shishov_a_g|2013/06/17 11:46:25|ща письмо напишу
shishov_a_g|2013/06/17 11:48:15|я отправил, но мы же можем продолжать?
shishov_a_g|2013/06/17 11:48:29|все равно ведь по тексту ищем столбцы? Да???
shishov_a_g|2013/06/17 11:48:37|а то я это не прописал вроде
iabbliz|2013/06/17 11:49:11|продолжать можем
shishov_a_g|2013/06/17 11:49:17|по тексту ищем?
iabbliz|2013/06/17 11:49:18|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="x0e5d961f25080e2588a3a0f633d65d572a18277bb94e5fcd7471f638d9b93bde" timestamp="1371469709"><legacyquote>[15:48:29] Шишов Антон: </legacyquote>все равно ведь по тексту ищем столбцы? Да???<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>это что?
shishov_a_g|2013/06/17 12:37:14|мне Самир сейчас звонил
shishov_a_g|2013/06/17 12:37:34|по обмену решили: 
договор надо основной подставлять
shishov_a_g|2013/06/17 12:37:57|Всего, сумма и сумма НДС надо чтобы работали как в типовом функционале
shishov_a_g|2013/06/17 12:38:17|т.е. пересчитывались при изменении цены, ставки НДС, количества
iabbliz|2013/06/17 12:38:49|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="x210108f3fb567bc6409dea39b437b97fd524b05d6ec5c8e991c2d8edfc684dd2" timestamp="1371472677"><legacyquote>[16:37:57] Шишов Антон: </legacyquote>Всего, сумма и сумма НДС надо чтобы работали как в типовом функционале<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>на пересчет влияют реквизиты СуммаВключаетНДС, УчитыватьНДС, откуда их брать?
shishov_a_g|2013/06/17 12:39:39|ну пусть всегда истина будет
iabbliz|2013/06/17 12:39:45|ок
shishov_a_g|2013/06/17 12:40:02|хотя я чувствую ещё отвечу за это пусть)
iabbliz|2013/06/17 12:40:11|=)))
iabbliz|2013/06/17 12:40:15|&quot;Организация - Во всех документах «Заказ покупателя» устанавливать значение, указанное в реквизите «Организация «ООО «БИАКСПЛЕН»  справочника «Специальные настройки конфигурации». Реквизит в справочник добавляется в рамках работ по настоящему ТП. &quot;
shishov_a_g|2013/06/17 12:40:21|так
iabbliz|2013/06/17 12:40:24|поясни пожалуйста
shishov_a_g|2013/06/17 12:40:54|ну надо добавить в справочник спецнастроек реквизит, в котором мы выберем организацию, которая подставится при обмене
iabbliz|2013/06/17 12:41:28|ок
iabbliz|2013/06/17 12:41:42|просто в файле в колонке Производства разные значения поэтому переспросил
iabbliz|2013/06/17 12:48:46|Менеджера еще нет.
shishov_a_g|2013/06/17 12:48:56|блин
iabbliz|2013/06/17 12:50:32|ДиаметрНамоткиРулона и Диаметр Рулона одно и то же?
shishov_a_g|2013/06/17 12:50:56|да
iabbliz|2013/06/17 12:51:01|ок
iabbliz|2013/06/17 13:04:58|помойму еще и Тип заказа
iabbliz|2013/06/17 13:06:51|отбой
iabbliz|2013/06/17 13:06:54|тип заказа есть
iabbliz|2013/06/18 08:00:46|нет
iabbliz|2013/06/18 08:00:51|привет
iabbliz|2013/06/18 09:25:17|Можешь сначала проверить работает ли функционал под полными правами, если все работает как задумывалось. Тогда подправлю права под этой ролью
iabbliz|2013/06/18 09:25:43|В любом случае лучше как и в прошлый раз одним списком
iabbliz|2013/06/18 09:25:45|ошибки
shishov_a_g|2013/06/18 13:05:45|<files alt="отправил (-а) файл &quot;16 (УП) 2ая Проверка программирования.doc&quot;">
<file size="379392" index="0">16 (УП) 2ая Проверка программирования.doc</file></files>
shishov_a_g|2013/06/18 13:06:01|
iabbliz|2013/06/18 13:30:53|&quot;Надо сделать или так чтобы по умолчанию был выбор из списка, либо если по умолчанию вид сравнения «Равно», можно было бы при этом виде значения выбирать. Сейчас нельзя. Это же касается склада, ном-ры, менеджера&quot;
не понял
iabbliz|2013/06/18 13:33:17|Проверка 4. Ещё надо вид резервирования в сформированных документах заполнять. Вид – ГП.
iabbliz|2013/06/18 13:47:05|Объекты в хранилище, смотри
shishov_a_g|2013/06/18 13:49:22|так это обновляться надо?
iabbliz|2013/06/18 13:49:48|если смотришь в облаке
iabbliz|2013/06/18 13:49:49|то да
iabbliz|2013/06/18 13:49:56|в любом случае да
iabbliz|2013/06/19 05:56:25|Привет
iabbliz|2013/06/19 05:56:42|&quot;Антон, остались замечания. См примечания с пометкой &quot;Проверка 3&quot;. Пара
 замечаний с пометкой &quot;Проверка 2&quot; как будто остались без внимания. Или может
 я что-то не понял.&quot;
Поэтому и просил чтобы просто списком перечислил замечания.
iabbliz|2013/06/19 05:56:50|там очень сложно ориентироватся в куче замечаний
iabbliz|2013/06/19 05:56:59|и приходится каждый раз весь документ читатть
shishov_a_g|2013/06/19 05:57:25|ща
iabbliz|2013/06/19 05:57:36|раз раз
iabbliz|2013/06/19 05:57:38|не слышу тебя
iabbliz|2013/06/19 06:17:58|Антон по поводу Качества в обработке
iabbliz|2013/06/19 06:18:03|что то не могу повторить ошибку
iabbliz|2013/06/19 06:18:22|а тыж  уехал+)
iabbliz|2013/06/19 07:23:21|остально поправил
iabbliz|2013/06/19 07:23:24|остальное
iabbliz|2013/06/19 07:23:28|и контроль
shishov_a_g|2013/06/19 08:10:13|сейчас качество замоделирую
shishov_a_g|2013/06/19 11:17:13|а не
shishov_a_g|2013/06/19 11:17:20|если там перечисление, то ладно
shishov_a_g|2013/06/19 11:17:25|я думал там флаг
shishov_a_g|2013/06/19 11:17:28|пусть будет
iabbliz|2013/06/19 11:17:54|ничего не понял, но ладно
iabbliz|2013/06/19 11:24:45|поправил, объект в хранилище
iabbliz|2013/06/20 06:05:15|Привет
iabbliz|2013/06/20 06:05:23|стукни когда появишься
shishov_a_g|2013/06/20 06:22:23|Привет
shishov_a_g|2013/06/20 06:22:32|У тебя какие сечас задачи?
shishov_a_g|2013/06/20 06:22:40|надо отчет один поправить
shishov_a_g|2013/06/20 06:22:48|с перерывом на поправление резервирования
iabbliz|2013/06/20 06:22:52|сейчас делаю ИН-05
shishov_a_g|2013/06/20 06:23:00|ну тоже дело
iabbliz|2013/06/20 06:23:00|жду ответа по ИН-01
shishov_a_g|2013/06/20 06:23:11|а там много ещё по ИН-05?
iabbliz|2013/06/20 06:23:31|если не отвлекатся то нет
iabbliz|2013/06/20 06:27:07|можно позвонить?
shishov_a_g|2013/06/20 06:28:27|ща
iabbliz|2013/06/20 06:35:12|&quot;При обмене необходимо подставлять «Соответствует ТУ» (предопределенный элемент).&quot;
iabbliz|2013/06/20 06:35:22|это предопределенный элемент справочника Качества?
shishov_a_g|2013/06/20 06:35:26|да
iabbliz|2013/06/20 06:35:27|или в спец. настройках указано
iabbliz|2013/06/20 06:35:28|?
iabbliz|2013/06/20 06:35:38|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="xeeade6b66bc4633e3450b7866f95b7465460522c88cdb259fb2f2cc35a5d4ec1" timestamp="1371710126"><legacyquote>[10:35:26] Шишов Антон: </legacyquote>да<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>нет такого
shishov_a_g|2013/06/20 06:35:44|нет, это они типовой элемент &quot;Новый переименовали&quot;
shishov_a_g|2013/06/20 06:35:50|да ладно нет
shishov_a_g|2013/06/20 06:35:54|где нет?
shishov_a_g|2013/06/20 06:35:59|в коде?
iabbliz|2013/06/20 06:36:07|<quote author="shishov_a_g" authorname="Шишов Антон" conversation="shishov_a_g" guid="x33e9fc802f02d9d0a89b4979b1a7d6b81540a95bdeb77e423f0b10ab64717cb0" timestamp="1371710144"><legacyquote>[10:35:44] Шишов Антон: </legacyquote>нет, это они типовой элемент &quot;Новый переименовали&quot;<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>это другое дело=)
iabbliz|2013/06/20 06:36:12|в коде то все равно Новый остался
shishov_a_g|2013/06/20 06:36:18|ну да, наверное
shishov_a_g|2013/06/20 06:36:36|ну не все пользуются спецнастройками как завещал великий Малышев)
iabbliz|2013/06/20 06:36:55|Спец. настройки это правильно=)
iabbliz|2013/06/20 06:36:58|и православно
iabbliz|2013/06/20 06:37:09|кашерно=)
iabbliz|2013/06/20 06:37:11|и т.п.
iabbliz|2013/06/20 06:37:16|&quot;Тип упаковки&quot;
iabbliz|2013/06/20 06:37:20|что с ним
shishov_a_g|2013/06/20 06:37:27|а что с ним?
iabbliz|2013/06/20 07:38:10|Если Цена не заполнена давать создавать Заказ покупателя?
iabbliz|2013/06/20 07:38:33|&quot;При обмене необходимо подставлять «18 %», если в договоре не установлен флаг «Реализация на экспорт».&quot;
а если стоит
shishov_a_g|2013/06/20 07:38:33|как это
iabbliz|2013/06/20 07:38:45|как не стоит?
iabbliz|2013/06/20 07:38:47|или что
shishov_a_g|2013/06/20 07:43:47|да, пусть создаются и проводятся
shishov_a_g|2013/06/20 07:43:54|без цены
iabbliz|2013/06/20 07:44:04|и проводятся?
shishov_a_g|2013/06/20 07:44:07|да
shishov_a_g|2013/06/20 08:20:42|Посмотри, плз, примечания с индексом
shishov_a_g|2013/06/20 08:20:44|Проверка 4
shishov_a_g|2013/06/20 08:20:52|я на обед
iabbliz|2013/06/20 08:21:39|Просьба посмотреть кнопку «Очистить размещение»:
1. Она очищает кроме размещения ещё и качество, паллету, продлить резерв до… Может что-то ещё. Необходимо поставить условие: очищать только размещение надо.
2. Просьба проверить: в типовом функционале она только новое размещение очищает или исходное тоже? Если исходное в типовом очищает, в нашей конфе тоже должна. У меня не очистилось исходное.

это в ТП было?
shishov_a_g|2013/06/20 08:22:41|нет, ну напиши как превышение Я не знаю как оценивать повреждение типовых кнопок моими идеями)
iabbliz|2013/06/20 08:23:07|а это
iabbliz|2013/06/20 08:23:08|Проверка 4. Сам не проверял, цитирую Кошелева:
Если используем галочку &quot;разрешена продажа ГП несоответствующего качества&quot;, то в случае если паллета.качество=&quot;Не_соответствуетТУ&quot; система все равно делает движение по качеству = &quot;СоответствуетТУ&quot; в результате разбегаются остатки в регистре &quot;Свободные остатки&quot;
